Header,中文解释,在研究中的作用和意义
Tag_id,标签ID,"这是一个唯一的识别码，用于区分每一个具体的政策标签（例如，""A1"", ""B2"", ""C3""）。它能帮助您在数据处理和图表制作中精确地引用每一个政策。"
Category_id,主题类别ID,"这是一个宏观分类的识别码，用于标识每个具体标签所属的大类（例如，""A"", ""B"", ""C""）。"
Frequency (Count),提及次数 (原始计数),这一列记录了在整个数据集中，每个具体政策标签被特朗普提及的总次数（即推文/帖子的数量）。这是计算“努力程度”最基础的原始数据。
Frequency (%),频率占比 (%),【X轴数据】 它由特定标签的提及次数，除以所有标签的总提及次数计算得出，反映了该议题在特朗普整体沟通中所占据的“话语空间”百分比。
Total_Likes,总点赞数,这一列记录了属于该标签的所有推文/帖子获得的点赞总数。它衡量了受众对该议题的“即时认可度”。
Total_Reposts,总转发数,这一列记录了属于该标签的所有推文/帖子获得的转发总数。它衡量了该议题的“放大与背书”程度，即其病毒式传播的能力。
Total_Comments,总评论数,这一列记录了属于该标签的所有推文/帖子获得的评论总数。它衡量了该议题激发受众进行“话语参与”的深度。
Total_Engagement,总互动量,这一列是 (总点赞数 + 总转发数 + 总评论数) 的总和。它是一个综合指标，反映了该议题在所有平台引发的总体舆论热度。
X_Total_Engagement,X平台总互动量,这一列只计算该tag来自X平台（前Twitter）的推文的总互动量。
Truth_Total_Engagement,Truth Social平台总互动量,这一列只计算该tag来自Truth Social平台的帖子的总互动量。
Average_Engagement,平均互动量 ,【Y轴数据】它由 Total_Engagement 除以 Frequency (Count) 计算得出，衡量了平均每一条关于该议题的推文/帖子的“引爆效率”。
X_Average_Engagement,平均互动量 (X平台),这一列只计算该tag来自X平台的推文的平均互动量。
Truth_Average_Engagement,平均互动量 (Truth Social平台),这一列只计算该tag来自Truth media的推文的平均互动量。
